step,train_loss,lr,grad_norm,tokens_per_sec
780,0.07582198083400726,0.001,0.5018406510353088,18504
790,0.0778205469250679,0.001,0.6036439538002014,18456
800,0.07728318870067596,0.001,0.5833315253257751,19088
810,0.07341857999563217,0.001,0.6095712184906006,18759
820,0.07445782423019409,0.001,0.5992116928100586,18832
830,0.08480282127857208,0.001,0.7205524444580078,18785
840,0.07883790880441666,0.001,0.6941851377487183,17835
850,0.07345092296600342,0.001,0.5266885757446289,18520
860,0.07928043603897095,0.001,0.6273196339607239,18632
870,0.07291049510240555,0.001,0.6255166530609131,18437
880,0.06962045282125473,0.001,0.5206238031387329,19140
890,0.07368144392967224,0.001,0.46554332971572876,19131
900,0.07067602872848511,0.001,0.41692641377449036,19170
910,0.06647539883852005,0.001,0.4108094871044159,19311
920,0.06536921858787537,0.001,0.43979451060295105,19022
930,0.06241154670715332,0.001,0.40123042464256287,18480
940,0.06192457675933838,0.001,0.3507179319858551,18738
950,0.06623447686433792,0.001,0.48149850964546204,18591
960,0.06795021146535873,0.001,0.47728586196899414,18948
970,0.06967020034790039,0.001,0.5813814997673035,17779
980,0.06526078283786774,0.001,0.43860647082328796,19124
990,0.06982041895389557,0.001,0.47658494114875793,19192
1000,0.07447400689125061,0.001,0.5278072357177734,18933
1010,0.06493912637233734,0.001,0.4980466365814209,18490
1020,0.07175476849079132,0.001,0.45775923132896423,18626
1030,0.06537660956382751,0.001,0.6829047799110413,18779
1040,0.06527478992938995,0.001,0.4004576504230499,18995
1050,0.060060013085603714,0.001,0.3720346987247467,18879
1060,0.06956814974546432,0.001,0.40026894211769104,18050
1070,0.061816927045583725,0.001,0.3475649356842041,19354
1080,0.0636957585811615,0.001,0.42807283997535706,18446
1090,0.0652497187256813,0.001,0.4221460521221161,17996
1100,0.06272750347852707,0.001,0.44625124335289,17328
1110,0.05961859971284866,0.001,0.33986711502075195,18332
1120,0.064071886241436,0.001,0.39459142088890076,18782
1130,0.06010542809963226,0.001,0.3781980276107788,19012
1140,0.06382174789905548,0.001,0.34526416659355164,19035
1150,0.06607858091592789,0.001,0.5758678913116455,19021
1160,0.08148999512195587,0.001,0.6465457677841187,17971
1170,0.06745140999555588,0.001,0.6942744851112366,18252
1180,0.06298632174730301,0.001,0.4212060272693634,18269
1190,0.06645089387893677,0.001,0.4897332191467285,18140
1200,0.06756915897130966,0.001,0.5683770179748535,18780
1210,0.06164957582950592,0.001,0.3860270380973816,18506
1220,0.06847766041755676,0.001,0.3809233009815216,18988
1230,0.05884735658764839,0.001,0.2848764657974243,17221
1240,0.06059611216187477,0.001,0.39953237771987915,17286
1250,0.05894545838236809,0.001,0.33845898509025574,18458
1260,0.06461915373802185,0.001,0.40253376960754395,17744
1270,0.06166481599211693,0.001,0.39076414704322815,18401
1280,0.06739255785942078,0.001,0.49216005206108093,17942
1290,0.05822618305683136,0.001,0.497043639421463,18432
1300,0.06478990614414215,0.001,0.3866342008113861,18473
1310,0.058180369436740875,0.001,0.3104390501976013,15090
1320,0.060665592551231384,0.001,0.41549617052078247,14939
1330,0.05361425504088402,0.001,0.21230630576610565,16105
1340,0.0633092001080513,0.001,0.4200812876224518,17452
1350,0.0662253201007843,0.001,0.4243518114089966,16629
1360,0.060435280203819275,0.001,0.3997974991798401,18834
1370,0.07242836058139801,0.001,0.4929293692111969,17169
1380,0.05531974136829376,0.001,0.23985591530799866,17308
1390,0.05723436549305916,0.001,0.24703778326511383,17044
1400,0.05909042805433273,0.001,0.44042378664016724,16540
1410,0.06085304915904999,0.001,0.3732551336288452,14289
1420,0.06704145669937134,0.001,0.518833577632904,12879
1430,0.06608165800571442,0.001,0.41301438212394714,15674
1440,0.059492506086826324,0.001,0.3558666706085205,13687
1450,0.06309222429990768,0.001,0.42521902918815613,15221
1460,0.058127786964178085,0.001,0.32547527551651,12568
1470,0.06514730304479599,0.001,0.5576021075248718,16560
1480,0.05753333494067192,0.001,0.2881709933280945,17227
1490,0.059443507343530655,0.001,0.5051474571228027,17153
1500,0.05779006704688072,0.001,0.2898533046245575,15608
